%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%---------------------------------------------------------------------%
%                                       #      ###                   -%
%  #####      #    #####   ######      ##     #   #   #    #         -%
%  #    #     #    #    #  #          # #    # #   #  #   #          -%
%  #    #     #    #    #  #####        #    #  #  #  ####           -%
%  #####      #    #####   #            #    #   # #  #  #           -%
%  #          #    #       #            #     #   #   #   #          -%
%  #          #    #       ######     #####    ###    #    #         -%
%                                                                    -%
%---------------------------------------------------------------------%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%                      2023 - 2024                          %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%  Contact: sergio.hoyas@mot.upv.es                         %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%                                                           %%%%%%
%%%%%%                     <<< CAUTION >>>                       %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%  All rights are reserved by the authors.                  %%%%%%
%%%%%%  No part of the data described herein may be represented  %%%%%%
%%%%%%  without reference. The data base may be used without     %%%%%%
%%%%%%  notification to the author's laboratory, asuming that    %%%%%%
%%%%%%  it has been properly cited.                              %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%                                                                   %%
%%  NOMENCLATURE:                                                    %%
%%   z = streamwise coordinate                                       %%
%%   r = wall-normal coordinate                                      %%
%%   t = Azimuthal coordinate                                        %%
%%   R = Radius                                                      %%
%%                                                                   %%
%%                                                                   %%
%%  BOX SIZE in R (z,r,t): 10pi|1|2pi                                %%
%%  FLOW CONDITIONS:  Retau  = 181 ,%%
%%                     utau  = 0.034200                              %%
%%%%
%%                                                                   %%
%%    Data file created: FEB 2023                                    %%
%%                                                                   %%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%        (1-r)        ((1-r)^+)      (Uz^+)      (ur_{rms}^+)  (uz_{rms}^+)   (ut_{rms}^+)     (uzur^+)    
    0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    -0.00000000 
    0.00001528     0.00277079     0.00277205     0.00000006     0.00097446     0.00051765     0.00000000 
    0.00006112     0.01108299     0.01108780     0.00000098     0.00389760     0.00206862     0.00000000 
    0.00013752     0.02493609     0.02494596     0.00000495     0.00876873     0.00464699     0.00000001 
    0.00024447     0.04432926     0.04434442     0.00001561     0.01558670     0.00824294     0.00000006 
    0.00038196     0.06926132     0.06928024     0.00003797     0.02434999     0.01284283     0.00000021 
    0.00055000     0.09973074     0.09974959     0.00007841     0.03505674     0.01842935     0.00000063 
    0.00074856     0.13573568     0.13574782     0.00014455     0.04770484     0.02498161     0.00000159 
    0.00097763     0.17727396     0.17726940     0.00024519     0.06229197     0.03247537     0.00000356 
    0.00123721     0.22434304     0.22430793     0.00039021     0.07881573     0.04088317     0.00000725 
    0.00152727     0.27694006     0.27685609     0.00059047     0.09727365     0.05017459     0.00001368 
    0.00184780     0.33506183     0.33490562     0.00085766     0.11766325     0.06031645     0.00002433 
    0.00219878     0.39870482     0.39844725     0.00120420     0.13998210     0.07127305     0.00004117 
    0.00258019     0.46786516     0.46747064     0.00164308     0.16422775     0.08300640     0.00006683 
    0.00299200     0.54253865     0.54196426     0.00218774     0.19039771     0.09547650     0.00010471 
    0.00343418     0.62272075     0.62191528     0.00285194     0.21848935     0.10864157     0.00015914 
    0.00390673     0.70840658     0.70730936     0.00364955     0.24849967     0.12245830     0.00023549 
    0.00440959     0.79959094     0.79813051     0.00459450     0.28042512     0.13688213     0.00034041 
    0.00494275     0.89626829     0.89436076     0.00570058     0.31426120     0.15186744     0.00048196 
    0.00550616     0.99843276     0.99597990     0.00698131     0.35000206     0.16736787     0.00066977 
    0.00609981     1.10607812     1.10296509     0.00844985     0.38763996     0.18333649     0.00091530 
    0.00672364     1.21919785     1.21529041     0.01011883     0.42716461     0.19972610     0.00123194 
    0.00737763     1.33778507     1.33292637     0.01200028     0.46856246     0.21648944     0.00163523 
    0.00806172     1.46183257     1.45583933     0.01410551     0.51181578     0.23357942     0.00214298 
    0.00877589     1.59133282     1.58399080     0.01644503     0.55690177     0.25094939     0.00277545 
    0.00952009     1.72627793     1.71733677     0.01902848     0.60379148     0.26855336     0.00355539 
    0.01029427     1.86665973     1.85582682     0.02186455     0.65244872     0.28634622     0.00450809 
    0.01109838     2.01246966     1.99940330     0.02496096     0.70282893     0.30428400     0.00566141 
    0.01193238     2.16369888     2.14800034     0.02832438     0.75487804     0.32232408     0.00704566 
    0.01279622     2.32033818     2.30154290     0.03196047     0.80853141     0.34042544     0.00869350 
    0.01368984     2.48237806     2.45994572     0.03587381     0.86371282     0.35854886     0.01063964 
    0.01461318     2.64980867     2.62311232     0.04006794     0.92033365     0.37665714     0.01292057 
    0.01556620     2.82261983     2.79093395     0.04454535     0.97829219     0.39471527     0.01557415 
    0.01654884     3.00080103     2.96328865     0.04930753     1.03747325     0.41269063     0.01863909 
    0.01756103     3.18434146     3.14004034     0.05435498     1.09774807     0.43055312     0.02215437 
    0.01860271     3.37322995     3.32103804     0.05968726     1.15897443     0.44827526     0.02615863 
    0.01967383     3.56745503     3.50611520     0.06530303     1.22099723     0.46583231     0.03068942 
    0.02077431     3.76700490     3.69508924     0.07120012     1.28364930     0.48320228     0.03578246 
    0.02190408     3.97186743     3.88776125     0.07737557     1.34675265     0.50036597     0.04147090 
    0.02306309     4.18203016     4.08391597     0.08382570     1.41011992     0.51730690     0.04778451 
    0.02425126     4.39748034     4.28332193     0.09054616     1.47355617     0.53401125     0.05474899 
    0.02546851     4.61820486     4.48573198     0.09753203     1.53686096     0.55046775     0.06238525 
    0.02671478     4.84419031     4.69088392     0.10477782     1.59983046     0.56666754     0.07070879 
    0.02798998     5.07542296     4.89850160     0.11227759     1.66225983     0.58260394     0.07972921 
    0.02929404     5.31188875     5.10829611     0.12002496     1.72394554     0.59827227     0.08944977 
    0.03062689     5.55357333     5.31996729     0.12801321     1.78468778     0.61366961     0.09986713 
    0.03198843     5.80046199     5.53320551     0.13623529     1.84429269     0.62879454     0.11097118 
    0.03337859     6.05253974     5.74769356     0.14468387     1.90257453     0.64364686     0.12274508 
    0.03479728     6.30979125     5.96310875     0.15335139     1.95935770     0.65822735     0.13516531 
    0.03624442     6.57220090     6.17912509     0.16223009     2.01447839     0.67253751     0.14820202 
    0.03771992     6.83975274     6.39541565     0.17131204     2.06778617     0.68657929     0.16181939 
    0.03922368     7.11243051     6.61165480     0.18058913     2.11914514     0.70035489     0.17597613 
    0.04075563     7.39021764     6.82752056     0.19005313     2.16843489     0.71386652     0.19062609 
    0.04231565     7.67309724     7.04269683     0.19969566     2.21555112     0.72711624     0.20571896 
    0.04390367     7.96105213     7.25687556     0.20950822     2.26040600     0.74010584     0.22120099 
    0.04551958     8.25406481     7.46975879     0.21948221     2.30292822     0.75283665     0.23701577 
    0.04716328     8.55211747     7.68106045     0.22960885     2.34306282     0.76530953     0.25310504 
    0.04883468     8.85519200     7.89050807     0.23987930     2.38077075     0.77752478     0.26940948 
    0.05053367     9.16326998     8.09784420     0.25028455     2.41602830     0.78948211     0.28586947 
    0.05226015     9.47633268     8.30282766     0.26081548     2.44882625     0.80118064     0.30242583 
    0.05401401     9.79436110     8.50523449     0.27146284     2.47916897     0.81261896     0.31902051 
    0.05579516    10.11733589     8.70485870     0.28221726     2.50707338     0.82379514     0.33559717 
    0.05760347    10.44523743     8.90151280     0.29306926     2.53256779     0.83470679     0.35210176 
    0.05943885    10.77804580     9.09502802     0.30400921     2.55569076     0.84535119     0.36848300 
    0.06130117    11.11574076     9.28525444     0.31502743     2.57648991     0.85572532     0.38469268 
    0.06319033    11.45830181     9.47206082     0.32611409     2.59502073     0.86582600     0.40068606 
    0.06510620    11.80570811     9.65533426     0.33725934     2.61134543     0.87564998     0.41642201 
    0.06704869    12.15793857     9.83497976     0.34845322     2.62553181     0.88519405     0.43186321 
    0.06901766    12.51497176    10.01091960     0.35968574     2.63765222     0.89445515     0.44697618 
    0.07101299    12.87678601    10.18309259     0.37094691     2.64778261     0.90343047     0.46173131 
    0.07303457    13.24335932    10.35145327     0.38222671     2.65600158     0.91211754     0.47610282 
    0.07508228    13.61466940    10.51597099     0.39351513     2.66238962     0.92051433     0.49006863 
    0.07715598    13.99069371    10.67662900     0.40480223     2.66702835     0.92861931     0.50361028 
    0.07925555    14.37140939    10.83342341     0.41607811     2.66999986     0.93643153     0.51671271 
    0.08138087    14.75679329    10.98636225     0.42733295     2.67138623     0.94395063     0.52936409 
    0.08353180    15.14682201    11.13546443     0.43855707     2.67126895     0.95117690     0.54155560 
    0.08570822    15.54147184    11.28075874     0.44974089     2.66972859     0.95811130     0.55328124 
    0.08790999    15.94071880    11.42228292     0.46087498     2.66684446     0.96475547     0.56453754 
    0.09013698    16.34453862    11.56008263     0.47195012     2.66269429     0.97111173     0.57532342 
    0.09238905    16.75290677    11.69421062     0.48295726     2.65735410     0.97718306     0.58563986 
    0.09466607    17.16579843    11.82472579     0.49388758     2.65089797     0.98297315     0.59548976 
    0.09696790    17.58318850    11.95169240     0.50473250     2.64339798     0.98848635     0.60487771 
    0.09929439    18.00505163    12.07517928     0.51548368     2.63492405     0.99372766     0.61380973 
    0.10164541    18.43136218    12.19525907     0.52613310     2.62554393     0.99870273     0.62229313 
    0.10402081    18.86209423    12.31200761     0.53667300     2.61532310     1.00341778     0.63033630 
    0.10642046    19.29722162    12.42550323     0.54709596     2.60432474     1.00787965     0.63794849 
    0.10884420    19.73671790    12.53582629     0.55739488     2.59260967     1.01209565     0.64513969 
    0.11129188    20.18055636    12.64305860     0.56756298     2.58023633     1.01607362     0.65192044 
    0.11376336    20.62871003    12.74728303     0.57759388     2.56726075     1.01982181     0.65830168 
    0.11625849    21.08115169    12.84858307     0.58748150     2.55373658     1.02334889     0.66429462 
    0.11877711    21.53785382    12.94704254     0.59722017     2.53971508     1.02666385     0.66991066 
    0.12131908    21.99878868    13.04274524     0.60680456     2.52524515     1.02977600     0.67516125 
    0.12388423    22.46392826    13.13577476     0.61622970     2.51037342     1.03269490     0.68005782 
    0.12647242    22.93324430    13.22621422     0.62549101     2.49514420     1.03543028     0.68461173 
    0.12908348    23.40670826    13.31414609     0.63458424     2.47959956     1.03799198     0.68883419 
    0.13171726    23.88429139    13.39965208     0.64350551     2.46377930     1.04038983     0.69273626 
    0.13437360    24.36596465    13.48281291     0.65225128     2.44772101     1.04263355     0.69632882 
    0.13705233    24.85169877    13.56370826     0.66081833     2.43146004     1.04473263     0.69962256 
    0.13975329    25.34146424    13.64241661     0.66920379     2.41502961     1.04669617     0.70262802 
    0.14247632    25.83523130    13.71901509     0.67740506     2.39846085     1.04853283     0.70535557 
    0.14522125    26.33296994    13.79357938     0.68541988     2.38178294     1.05025068     0.70781544 
    0.14798792    26.83464990    13.86618357     0.69324628     2.36502316     1.05185716     0.71001769 
    0.15077616    27.34024071    13.93690006     0.70088256     2.34820701     1.05335907     0.71197224 
    0.15358579    27.84971164    14.00579942     0.70832732     2.33135827     1.05476250     0.71368879 
    0.15641665    28.36303173    14.07295037     0.71557945     2.31449902     1.05607286     0.71517680 
    0.15926857    28.88016978    14.13841969     0.72263811     2.29764970     1.05729488     0.71644547 
    0.16214137    29.40109437    14.20227222     0.72950273     2.28082913     1.05843264     0.71750368 
    0.16503487    29.92577385    14.26457087     0.73617301     2.26405451     1.05948958     0.71835997 
    0.16794891    30.45417632    14.32537658     0.74264891     2.24734155     1.06046856     0.71902256 
    0.17088330    30.98626967    14.38474843     0.74893065     2.23070453     1.06137192     0.71949935 
    0.17383787    31.52202158    14.44274357     0.75501868     2.21415645     1.06220149     0.71979795 
    0.17681244    32.06139948    14.49941728     0.76091367     2.19770923     1.06295867     0.71992570 
    0.17980682    32.60437060    14.55482297     0.76661654     2.18137378     1.06364445     0.71988967 
    0.18282083    33.15090193    14.60901219     0.77212839     2.16516011     1.06425944     0.71969669 
    0.18585430    33.70096028    14.66203464     0.77745056     2.14907738     1.06480386     0.71935333 
    0.18890703    34.25451220    14.71393824     0.78258458     2.13313381     1.06527756     0.71886588 
    0.19197885    34.81152406    14.76476913     0.78753218     2.11733668     1.06568006     0.71824035 
    0.19506955    35.37196202    14.81457176     0.79229530     2.10169226     1.06601061     0.71748244 
