%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%---------------------------------------------------------------------%
%                                       #      ###                   -%
%  #####      #    #####   ######      ##     #   #   #    #         -%
%  #    #     #    #    #  #          # #    # #   #  #   #          -%
%  #    #     #    #    #  #####        #    #  #  #  ####           -%
%  #####      #    #####   #            #    #   # #  #  #           -%
%  #          #    #       #            #     #   #   #   #          -%
%  #          #    #       ######     #####    ###    #    #         -%
%                                                                    -%
%---------------------------------------------------------------------%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%                      2023 - 2024                          %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%  Contact: sergio.hoyas@mot.upv.es                         %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%                                                           %%%%%%
%%%%%%                     <<< CAUTION >>>                       %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%  All rights are reserved by the authors.                  %%%%%%
%%%%%%  No part of the data described herein may be represented  %%%%%%
%%%%%%  without reference. The data base may be used without     %%%%%%
%%%%%%  notification to the author's laboratory, asuming that    %%%%%%
%%%%%%  it has been properly cited.                              %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%                                                                   %%
%%  NOMENCLATURE:                                                    %%
%%   z = streamwise coordinate                                       %%
%%   r = wall-normal coordinate                                      %%
%%   t = Azimuthal coordinate                                        %%
%%   R = Radius                                                      %%
%%                                                                   %%
%%                                                                   %%
%%  BOX SIZE in R (z,r,t): 10pi|1|2pi                                %%
%%  FLOW CONDITIONS:  Retau  = 181 ,%%
%%                     utau  = 0.034200                              %%
%%%%
%%                                                                   %%
%%    Data file created: FEB 2023                                    %%
%%                                                                   %%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%        (1-r)        ((1-r)^+)      (Uz^+)      (ur_{rms}^+)  (uz_{rms}^+)   (ut_{rms}^+)     (uzur^+) 
    0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000 
    0.00005934     0.01076043     0.01074200     0.00000092     0.00378717     0.00201184     0.00000000 
    0.00023735     0.04303921     0.04296165     0.00001466     0.01514522     0.00801764     0.00000005 
    0.00053399     0.09682874     0.09663991     0.00007364     0.03406431     0.01792916     0.00000058 
    0.00094919     0.17211639     0.17174497     0.00023036     0.06052970     0.03160257     0.00000326 
    0.00148285     0.26888449     0.26823201     0.00055502     0.09452374     0.04884291     0.00001250 
    0.00213484     0.38711032     0.38604256     0.00113251     0.13602782     0.06940995     0.00003760 
    0.00290501     0.52676609     0.52510309     0.00205881     0.18502334     0.09302488     0.00009562 
    0.00379319     0.68781903     0.68532242     0.00343695     0.24149066     0.11937755     0.00021497 
    0.00479916     0.87023129     0.86658742     0.00537283     0.30540503     0.14813389     0.00043986 
    0.00592268     1.07396006     1.06875633     0.00797106     0.37672814     0.17894334     0.00083521 
    0.00716350     1.29895747     1.29164898     0.01133112     0.45539437     0.21144611     0.00149208 
    0.00852132     1.54517070     1.53503332     0.01554382     0.54129091     0.24528040     0.00253277 
    0.00999582     1.81254191     1.79860757     0.02068854     0.63423182     0.28008943     0.00411514 
    0.01158666     2.10100832     2.08197813     0.02683098     0.73392723     0.31552857     0.00643497 
    0.01329345     2.41050218     2.38463327     0.03402180     0.83995026     0.35127217     0.00972521 
    0.01511582     2.74095082     2.70591401     0.04229595     0.95170607     0.38702028     0.01425119 
    0.01705331     3.09227661     3.04498407     0.05167272     1.06840805     0.42250462     0.02030091 
    0.01910548     3.46439707     3.40080170     0.06215640     1.18906695     0.45749361     0.02817031 
    0.02127185     3.85722479     3.77209690     0.07373743     1.31249707     0.49179569     0.03814421 
    0.02355191     4.27066752     4.15735760     0.08639396     1.43734184     0.52526078     0.05047455 
    0.02594512     4.70462816     4.55482813     0.10009356     1.56211776     0.55777945     0.06535813 
    0.02845092     5.15900481     4.96252223     0.11479510     1.68527317     0.58927974     0.08291649 
    0.03106872     5.63369075     5.37825162     0.13045045     1.80525560     0.61972195     0.10318052 
    0.03379791     6.12857451     5.79966929     0.14700617     1.92058075     0.64909193     0.12608175 
    0.03663784     6.64353986     6.22432507     0.16440475     2.02989609     0.67739334     0.15145149 
    0.03958786     7.17846587     6.64972970     0.18258571     2.13203328     0.70463992     0.17902778 
    0.04264726     7.73322691     7.07342263     0.20148623     2.22604564     0.73084840     0.20846941 
    0.04581532     8.30769269     7.49303851     0.22104154     2.31122886     0.75603278     0.23937517 
    0.04909132     8.90172831     7.90636785     0.24118503     2.38712525     0.78020045     0.27130618 
    0.05247446     9.51519426     8.31140782     0.26184823     2.45351362     0.80335039     0.30380906 
    0.05596397    10.14794647     8.70640084     0.28296079     2.51038767     0.82547324     0.33643777 
    0.05955902    10.79983634     9.08985940     0.30445040     2.55792670     0.84655297     0.36877241 
    0.06325876    11.47071077     9.46057751     0.32624294     2.59646223     0.86656961     0.40043395 
    0.06706233    12.16041222     9.81762959     0.34826275     2.62644372     0.88550232     0.43109437 
    0.07096883    12.86877871    10.16035889     0.37043304     2.64840599     0.90333248     0.46048224 
    0.07497736    13.59564388    10.48835776     0.39267651     2.66293990     0.92004637     0.48838428 
    0.07908695    14.34083703    10.80144221     0.41491602     2.67066729     0.93563740     0.51464353 
    0.08329666    15.10418315    11.09962327     0.43707540     2.67222016     0.95010765     0.53915507 
    0.08760549    15.88550299    11.38307705     0.45908023     2.66822420     0.96346891     0.56185994 
    0.09201243    16.68461303    11.65211547     0.48085864     2.65928623     0.97574305     0.58273834 
    0.09651644    17.50132563    11.90715863     0.50234198     2.64598532     0.98696180     0.60180261 
    0.10111647    18.33544897    12.14870964     0.52346534     2.62886718     0.99716606     0.61909065 
    0.10581143    19.18678717    12.37733225     0.54416811     2.60844130     1.00640474     0.63465992 
    0.11060023    20.05514029    12.59363143     0.56439431     2.58517999     1.01473329     0.64858215 
    0.11548174    20.94030440    12.79823699     0.58409299     2.55951852     1.02221179     0.66093865 
    0.12045482    21.84207163    12.99179018     0.60321848     2.53185579     1.02890284     0.67181635 
    0.12551828    22.76023020    13.17493301     0.62173052     2.50255548     1.03486919     0.68130466 
    0.13067096    23.69456448    13.34829992     0.63959426     2.47194768     1.04017169     0.68949322 
    0.13591163    24.64485505    13.51251121     0.65678011     2.44033057     1.04486736     0.69647044 
    0.14123906    25.61087873    13.66816787     0.67326364     2.40797207     1.04900795     0.70232243 
    0.14665201    26.59240866    13.81584749     0.68902534     2.37511153     1.05263925     0.70713226 
    0.15214920    27.58921434    13.95610138     0.70405047     2.34196154     1.05580144     0.71097914 
    0.15772934    28.60106165    14.08945275     0.71832876     2.30870944     1.05853015     0.71393770 
    0.16339113    29.62771299    14.21639608     0.73185418     2.27551842     1.06085731     0.71607741 
    0.16913322    30.66892723    14.33739746     0.74462464     2.24252808     1.06281132     0.71746213 
    0.17495428    31.72445986    14.45289574     0.75664178     2.20985528     1.06441704     0.71815004 
    0.18085294    32.79406298    14.56330405     0.76791068     2.17759624     1.06569619     0.71819407 
    0.18682780    33.87748541    14.66901119     0.77843953     2.14582975     1.06666792     0.71764267 
    0.19287748    34.97447271    14.77038256     0.78823926     2.11462003     1.06734903     0.71654062 
    0.19900054    36.08476725    14.86776082     0.79732319     2.08401802     1.06775446     0.71492941 
    0.20519555    37.20810829    14.96146670     0.80570680     2.05406182     1.06789784     0.71284739 
    0.21146105    38.34423201    15.05179974     0.81340733     2.02477781     1.06779153     0.71033020 
    0.21779557    39.49287161    15.13903881     0.82044354     1.99618226     1.06744584     0.70741135 
    0.22419764    40.65375731    15.22344211     0.82683539     1.96828290     1.06686799     0.70412259 
    0.23066573    41.82661651    15.30524723     0.83260380     1.94108159     1.06606174     0.70049411 
    0.23719833    43.01117374    15.38467106     0.83777043     1.91457859     1.06502749     0.69655476 
    0.24379392    44.20715084    15.46190961     0.84235749     1.88877515     1.06376337     0.69233212 
    0.25045093    45.41426691    15.53713847     0.84638759     1.86367170     1.06226703     0.68785173 
    0.25716781    46.63223849    15.61051451     0.84988379     1.83926405     1.06053774     0.68313607 
    0.26394297    47.86077953    15.68217884     0.85286950     1.81554212     1.05857760     0.67820405 
    0.27077484    49.09960151    15.75226001     0.85536843     1.79249124     1.05639071     0.67307146 
    0.27766180    50.34841351    15.82087628     0.85740447     1.77009354     1.05398050     0.66775219 
    0.28460223    51.60692224    15.88813660     0.85900144     1.74832867     1.05134775     0.66225929 
    0.29159451    52.87483214    15.95414062     0.86018290     1.72717515     1.04849058     0.65660543 
    0.29863699    54.15184546    16.01897853     0.86097190     1.70661305     1.04540568     0.65080292 
    0.30572802    55.43766229    16.08273092     0.86139073     1.68662609     1.04209057     0.64486377 
    0.31286594    56.73198066    16.14546882     0.86146098     1.66720106     1.03854631     0.63879945 
    0.32004906    58.03449661    16.20725407     0.86120352     1.64832431     1.03477905     0.63262057 
    0.32727571    59.34490424    16.26814047     0.86063870     1.62997870     1.03079969     0.62633630 
    0.33454418    60.66289581    16.32817560     0.85978647     1.61214344     1.02662267     0.61995425 
    0.34185276    61.98816180    16.38740220     0.85866633     1.59479621     1.02226451     0.61348123 
    0.34919975    63.32039098    16.44585851     0.85729722     1.57791514     1.01774204     0.60692410 
    0.35658341    64.65927046    16.50357782     0.85569744     1.56147943     1.01307092     0.60028980 
    0.36400202    66.00448583    16.56058876     0.85388456     1.54546946     1.00826544     0.59358450 
    0.37145382    67.35572116    16.61691644     0.85187532     1.52986703     1.00333930     0.58681325 
    0.37893707    68.71265913    16.67258366     0.84968555     1.51465587     0.99830637     0.57998023 
    0.38645001    70.07498105    16.72761145     0.84733013     1.49982167     0.99318063     0.57308951 
    0.39399088    71.44236700    16.78201883     0.84482315     1.48535135     0.98797465     0.56614533 
    0.40155791    72.81449585    16.83582249     0.84217828     1.47123162     0.98269827     0.55915190 
    0.40914932    74.19104535    16.88903703     0.83940887     1.45744746     0.97735952     0.55211291 
    0.41676332    75.57169224    16.94167568     0.83652773     1.44398168     0.97196732     0.54503148 
    0.42439813    76.95611226    16.99375055     0.83354669     1.43081614     0.96653341     0.53791079 
    0.43205195    78.34398031    17.04527203     0.83047631     1.41793358     0.96107191     0.53075452 
    0.43972299    79.73497043    17.09624812     0.82732579     1.40531872     0.95559659     0.52356668 
    0.44740945    81.12875597    17.14668424     0.82410330     1.39295860     0.95011758     0.51635111 
