 precomputing function requisites...
 loading state...
 
 Done reading fields
 Time spend reading:     0.090 sc
 initialising output files...
 /data/marcos/pipe10k/source/runs/re180dt.cf
 timestepping.....
  step=           0  dt=  9.9469237E-03
Step    1  0.800590D+04  0.340093D+01  0.179688D+03
Step    6  0.800595D+04  0.410647D+01  0.179695D+03
Step   11  0.800600D+04  0.273148D+01  0.179701D+03
Step   16  0.800604D+04  0.272317D+01  0.179708D+03
Step   21  0.800609D+04  0.273040D+01  0.179716D+03
Step   26  0.800614D+04  0.272513D+01  0.179723D+03
Step   31  0.800618D+04  0.273042D+01  0.179731D+03
Step   36  0.800623D+04  0.272848D+01  0.179739D+03
Step   41  0.800628D+04  0.272303D+01  0.179747D+03
Step   46  0.800633D+04  0.272738D+01  0.179755D+03
Step   51  0.800637D+04  0.273317D+01  0.179763D+03
Step   56  0.800642D+04  0.272923D+01  0.179772D+03
Step   61  0.800647D+04  0.272045D+01  0.179781D+03
Step   66  0.800651D+04  0.272293D+01  0.179789D+03
Step   71  0.800656D+04  0.271750D+01  0.179798D+03
Step   76  0.800661D+04  0.272154D+01  0.179807D+03
Step   81  0.800666D+04  0.272098D+01  0.179816D+03
Step   86  0.800670D+04  0.272641D+01  0.179825D+03
Step   91  0.800675D+04  0.272612D+01  0.179834D+03
Step   96  0.800680D+04  0.272004D+01  0.179843D+03
Step  101  0.800684D+04  0.272434D+01  0.179852D+03
Step  106  0.800689D+04  0.272056D+01  0.179861D+03
Step  111  0.800694D+04  0.272022D+01  0.179869D+03
Step  116  0.800699D+04  0.272277D+01  0.179878D+03
Step  121  0.800703D+04  0.272404D+01  0.179887D+03
Step  126  0.800708D+04  0.272678D+01  0.179896D+03
Step  131  0.800713D+04  0.271801D+01  0.179905D+03
Step  136  0.800718D+04  0.271900D+01  0.179914D+03
Step  141  0.800722D+04  0.272150D+01  0.179922D+03
Step  146  0.800727D+04  0.271822D+01  0.179931D+03
Step  151  0.800732D+04  0.272171D+01  0.179940D+03
Step  156  0.800736D+04  0.272731D+01  0.179948D+03
Step  161  0.800741D+04  0.272334D+01  0.179956D+03
Step  166  0.800746D+04  0.272692D+01  0.179965D+03
Step  171  0.800751D+04  0.272729D+01  0.179973D+03
Step  176  0.800755D+04  0.272095D+01  0.179981D+03
Step  181  0.800760D+04  0.272248D+01  0.179989D+03
Step  186  0.800765D+04  0.272329D+01  0.179997D+03
Step  191  0.800769D+04  0.272753D+01  0.180005D+03
Step  196  0.800774D+04  0.272409D+01  0.180012D+03
Step  201  0.800779D+04  0.272675D+01  0.180020D+03
Step  206  0.800784D+04  0.272561D+01  0.180027D+03
Step  211  0.800788D+04  0.272766D+01  0.180035D+03
Step  216  0.800793D+04  0.272891D+01  0.180042D+03
Step  221  0.800798D+04  0.271635D+01  0.180049D+03
Step  226  0.800802D+04  0.272402D+01  0.180056D+03
Step  231  0.800807D+04  0.272682D+01  0.180063D+03
Step  236  0.800811D+04  0.272024D+01  0.180070D+03
Step  241  0.800816D+04  0.272806D+01  0.180076D+03
Step  246  0.800820D+04  0.272938D+01  0.180083D+03
Step  251  0.800824D+04  0.272374D+01  0.180089D+03
Step  256  0.800829D+04  0.272449D+01  0.180096D+03
Step  261  0.800833D+04  0.272961D+01  0.180102D+03
Step  266  0.800837D+04  0.272406D+01  0.180108D+03
Step  271  0.800841D+04  0.272528D+01  0.180114D+03
Step  276  0.800845D+04  0.271800D+01  0.180120D+03
Step  281  0.800849D+04  0.272208D+01  0.180126D+03
Step  286  0.800853D+04  0.272771D+01  0.180133D+03
